id,timestamp,url,tweet,replies,retweets,quotes,likes
1.31E+18,10/8/2020 16:50,https://twitter.com/JoeBiden/status/1314246678153760771,"We must seek not to build walls, but bridges.

We must seek not to clench our fists, but to open our arms.

We must seek not to tear each other apart, but to come together.",9992,27587,2034,193874
1.31E+18,10/8/2020 18:04,https://twitter.com/JoeBiden/status/1314265301006118913,I’m running as a proud Democrat. But I will govern as an American president. https://t.co/UgNPbQdNZH,2386,9044,418,57869
1.31E+18,10/8/2020 19:05,https://twitter.com/JoeBiden/status/1314280652322336768,"I promise you that as president, I will always appeal to the best in us — not the worst. https://t.co/E07GuV4m7G",4590,8182,496,46011
1.31E+18,10/8/2020 20:24,https://twitter.com/JoeBiden/status/1314300533071642625,"Folks, there was only one person on last night’s debate stage who’s fit to serve as Vice President — and her name is @KamalaHarris.",17771,33640,2149,346545
1.31E+18,10/8/2020 21:42,https://twitter.com/JoeBiden/status/1314320162317897729,"Every generation that has followed Gettysburg has been faced with a moment when it must answer this question: Will we allow the sacrifices made in that battle, and that war, to be in vain?
 
We cannot, and we must not. It's time to come together. https://t.co/jmVGQRS4zy",1063,3843,150,17857
1.31E+18,10/8/2020 21:56,https://twitter.com/JoeBiden/status/1314323701777657856,"Tune in as @KamalaHarris and I kick off our Soul of the Nation bus tour from Phoenix, Arizona. https://t.co/0BukV7xBJq",1074,2307,96,11002
1.31E+18,10/8/2020 22:51,https://twitter.com/JoeBiden/status/1314337526694375426,"Last night, @KamalaHarris chose truth over lies.

She chose hope and unity over fear and division.

She showed America what true leadership looks like — and I couldn't be prouder.",7829,13790,781,114767
1.31E+18,10/8/2020 23:25,https://twitter.com/JoeBiden/status/1314346083087257603,".@KamalaHarris is right: If you have a pre-existing condition, the Trump Administration is coming for you.

Vote like your health care depends on it — because it does.

https://t.co/eoxT07d7QB https://t.co/Nf4IJZvL7U",2376,6493,333,30133
1.31E+18,10/9/2020 0:01,https://twitter.com/JoeBiden/status/1314355143022989314,"After last night, I just had to write a note about my friend and running mate, @KamalaHarris. https://t.co/FYPXV5dZZG",2232,4541,225,25813
1.31E+18,10/9/2020 0:15,https://twitter.com/JoeBiden/status/1314358666045337602,".@CP3 and @StephenCurry30 know exactly what it means to finish strong down the stretch. We’re in the closing days of this campaign, and it’s time to finish this fight and cast our ballots. 

Don’t miss your shot: Register to vote today at https://t.co/eoxT07d7QB. https://t.co/Xek40JpcUc",1518,4474,264,22407
1.31E+18,10/9/2020 0:45,https://twitter.com/JoeBiden/status/1314366215914098689,"Time and time again, President Trump has refused to condemn white supremacy and stoked the flames of hate for political gain.

It’s a pattern — and America deserves better. https://t.co/o1zKKd0bpf",9751,6527,1020,31452
1.31E+18,10/9/2020 1:15,https://twitter.com/JoeBiden/status/1314373765388615682,"Jill and I are keeping the Gulf Coast in our prayers tonight. If you’re in Hurricane Delta’s path, please heed the advice of local officials, take steps to prepare, and stay safe. https://t.co/GAtLxm1n3S",1226,4708,208,27092
1.31E+18,10/9/2020 2:35,https://twitter.com/JoeBiden/status/1314393898333208578,"When Governor Whitmer worked to protect her state from a deadly pandemic, President Trump issued a call to ""LIBERATE MICHIGAN!""

That call was heard.

He's giving oxygen to the bigotry and hate we see on the march in our country — and we have to stop it.",15251,56559,2830,299222
